Process,Function,Start Time (UTC),Is_Ransomware
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754598,1
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754614,1
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754626,1
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754639,1
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754656,1
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryInformationToken,2026/04/21 14:23:43.1754673,1
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryInformationThread,2026/04/21 14:23:43.1754697,1
5c6f7b9de14d59d19d62dc14.exe (11252),NtAlpcSendWaitReceivePort,2026/04/21 14:23:43.1754718,1
lsass.exe (820),NtSetInformationWorkerFactory,2026/04/21 14:23:43.1754751,0
lsass.exe (820),NtSetInformationThread,2026/04/21 14:23:43.1754761,0
lsass.exe (820),NtAlpcImpersonateClientOfPort,2026/04/21 14:23:43.175478,0
lsass.exe (820),NtOpenThreadToken,2026/04/21 14:23:43.1754787,0
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754833,0
lsass.exe (820),NtSetInformationThread,2026/04/21 14:23:43.1754837,0
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754841,0
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754847,0
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754851,0
