Process,Function,Start Time (UTC)
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754598
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754614
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754626
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754639
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryVirtualMemory,2026/04/21 14:23:43.1754656
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryInformationToken,2026/04/21 14:23:43.1754673
5c6f7b9de14d59d19d62dc14.exe (11252),NtQueryInformationThread,2026/04/21 14:23:43.1754697
5c6f7b9de14d59d19d62dc14.exe (11252),NtAlpcSendWaitReceivePort,2026/04/21 14:23:43.1754718
lsass.exe (820),NtSetInformationWorkerFactory,2026/04/21 14:23:43.1754751
lsass.exe (820),NtSetInformationThread,2026/04/21 14:23:43.1754761
lsass.exe (820),NtAlpcImpersonateClientOfPort,2026/04/21 14:23:43.175478
lsass.exe (820),NtOpenThreadToken,2026/04/21 14:23:43.1754787
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754833
lsass.exe (820),NtSetInformationThread,2026/04/21 14:23:43.1754837
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754841
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754847
lsass.exe (820),NtQueryInformationToken,2026/04/21 14:23:43.1754851
